0 O0 -6.300 -0.550 -12.000 -0.330 -7.000 -0.350
1 O1 -6.321 -0.538 -11.530 -0.332 -6.615 -0.346
2 O2 -6.349 -0.518 -10.958 -0.331 -6.302 -0.342
3 O3 -6.380 -0.492 -10.303 -0.327 -6.041 -0.338
4 O4 -6.413 -0.461 -9.584 -0.323 -5.814 -0.334
5 O5 -6.443 -0.426 -8.820 -0.320 -5.600 -0.330
6 O6 -6.470 -0.388 -8.030 -0.320 -5.381 -0.326
7 O7 -6.490 -0.349 -7.234 -0.320 -5.137 -0.321
8 O8 -6.501 -0.309 -6.451 -0.310 -4.850 -0.316
9 O9 -6.500 -0.270 -5.700 -0.310 -4.500 -0.310
10 B0 -6.485 -0.233 -5.000 -0.300 -4.000 -0.300
11 B1 -6.452 -0.199 -4.365 -0.260 -3.142 -0.274
12 B2 -6.400 -0.170 -3.789 -0.240 -2.250 -0.240
13 B3 -6.329 -0.145 -3.261 -0.200 -1.689 -0.211
14 B4 -6.256 -0.124 -2.768 -0.174 -1.396 -0.188
15 B5 -6.200 -0.100 -2.300 -0.160 -1.200 -0.170
16 B6 -6.175 -0.074 -1.849 -0.144 -0.959 -0.156
17 B7 -6.178 -0.049 -1.422 -0.120 -0.644 -0.138
18 B8 -6.200 -0.030 -1.030 -0.090 -0.250 -0.110
19 B9 -6.236 -0.020 -0.686 -0.060 0.207 -0.067
20 A0 -6.300 -0.010 -0.400 0.000 0.650 -0.020
21 A1 -6.400 0.008 -0.179 0.053 1.006 0.018
22 A2 -6.500 0.030 -0.014 0.089 1.300 0.050
23 A3 -6.562 0.052 0.111 0.115 1.566 0.083
24 A4 -6.590 0.073 0.211 0.133 1.790 0.116
25 A5 -6.600 0.090 0.300 0.150 1.950 0.150
26 A6 -6.604 0.104 0.390 0.169 2.034 0.183
27 A7 -6.605 0.116 0.485 0.190 2.090 0.215
28 A8 -6.604 0.130 0.585 0.214 2.178 0.245
29 A9 -6.602 0.147 0.689 0.240 2.361 0.274
30 F0 -6.600 0.170 0.800 0.270 2.700 0.300
31 F1 -6.599 0.200 0.915 0.302 3.195 0.324
32 F2 -6.600 0.230 1.024 0.337 3.600 0.350
33 F3 -6.605 0.254 1.116 0.374 3.694 0.379
34 F4 -6.607 0.281 1.178 0.411 3.594 0.410
35 F5 -6.600 0.320 1.200 0.450 3.500 0.440
36 F6 -6.578 0.381 1.174 0.489 3.567 0.467
37 F7 -6.543 0.462 1.113 0.528 3.761 0.493
38 F8 -6.500 0.560 1.034 0.568 4.000 0.520
39 F9 -6.452 0.667 0.958 0.609 4.216 0.550
40 G0 -6.400 0.760 0.900 0.650 4.400 0.580
41 G1 -6.348 0.823 0.874 0.692 4.557 0.607
42 G2 -6.300 0.870 0.874 0.733 4.700 0.630
43 G3 -6.261 0.920 0.886 0.772 4.838 0.649
44 G4 -6.229 0.972 0.899 0.808 4.973 0.665
45 G5 -6.200 1.020 0.900 0.840 5.100 0.680
46 G6 -6.171 1.060 0.880 0.867 5.221 0.696
47 G7 -6.139 1.097 0.845 0.894 5.349 0.715
48 G8 -6.100 1.140 0.800 0.927 5.500 0.740
49 G9 -6.053 1.194 0.752 0.970 5.686 0.772
50 K0 -6.000 1.250 0.700 1.030 5.900 0.810
51 K1 -5.947 1.301 0.631 1.109 6.133 0.854
52 K2 -5.900 1.360 0.500 1.201 6.400 0.910
53 K3 -5.864 1.440 0.276 1.294 6.712 0.985
54 K4 -5.834 1.527 0.017 1.381 7.041 1.069
55 K5 -5.800 1.600 -0.200 1.450 7.350 1.150
56 K6 -5.757 1.644 -0.315 1.495 7.614 1.217
57 K7 -5.709 1.663 -0.351 1.521 7.857 1.272
58 K8 -5.663 1.667 -0.349 1.537 8.112 1.318
59 K9 -5.624 1.666 -0.351 1.551 8.415 1.359
60 M0 -5.600 1.670 -0.400 1.570 8.800 1.400
61 M1 -5.594 1.686 -0.512 1.601 9.295 1.443
62 M2 -5.600 1.710 -0.600 1.644 9.900 1.490
63 M3 -5.609 1.738 -0.578 1.693 10.607 1.539
64 M4 -5.612 1.768 -0.464 1.746 11.410 1.590
65 M5 -5.600 1.800 -0.300 1.800 12.300 1.640
66 M6 -5.564 1.834 -0.129 1.851 13.271 1.688
67 M7 -5.496 1.871 0.007 1.895 14.315 1.732
68 M8 -5.386 1.910 0.064 1.929 15.424 1.770
69 M9 -5.225 1.950 0.000 1.950 16.593 1.800
